Group name;League ID;Description;Session ID;Types;Session end (Local timezone);Session end date (Local timezone);Session end date (UTC);Session end time (Local timezone);Session end time (UTC);Session end (UTC);Session begin (Local timezone);Session begin date (Local timezone);Session begin date (UTC);Session begin time (Local timezone);Session begin time (UTC);Session begin (UTC);Distance (m);Distance (speed | very slow) (m);Distance (speed | slow) (m);Distance (speed | moderate) (m);Distance (speed | fast) (m);Distance (speed | very fast) (m);Distance (speed | sprint) (m);Distance / min (m);Distance / min (speed | very slow) (m);Distance / min (speed | slow) (m);Distance / min (speed | moderate) (m);Distance / min (speed | fast) (m);Distance / min (speed | very fast) (m);Distance / min (speed | sprint) (m);Duration (s);Position;Speed (Ø) (km/h);Speed (max.) (km/h);Speed (% of max.) (%);Time on Ice (s);Time (s);Time (speed | very slow) (s);Time (speed | slow) (s);Time (speed | moderate) (s);Time (speed | fast) (s);Time (speed | very fast) (s);Time (speed | sprint) (s);Accumulated Acceleration Load;Acceleration Load (load | very low);Acceleration Load (load | low);Acceleration Load (load | medium);Acceleration Load (load | high);Acceleration Load (load | very high);Acceleration Load (load | near max);Acceleration Load (load | max);Accumulated Acceleration Load / min;Acceleration Load / min;Acceleration Load (max.);Acceleration Load (time | high) (s);Acceleration Load (time | low) (s);Acceleration Load (time | max) (s);Acceleration Load (time | medium) (s);Acceleration Load (time | near max) (s);Acceleration Load (time | very high) (s);Acceleration Load (time | very low) (s);Acceleration (max.) (m/s²);Deceleration (max.) (m/s²);Anaerobic Activity (distance) (m);Anaerobic Activity (time) (s);High Speed and Acceleration Distance (m);High Speed and Acceleration Distance / min (m);High Metabolic Power Distance (m);High Metabolic Power Distance / min (m);High Speed and Acceleration Time (s);Accels Load;Accel 1;Accel 2;Accel 3;Accel 4;Accels Load / min;Accel 1 / min;Accel 2 / min;Accel 3 / min;Accel 4 / min;Decels Load;Decel 1;Decel 2;Decel 3;Decel 4;Decels Load / min;Decel 1 / min;Decel 2 / min;Decel 3 / min;Decel 4 / min;Mechanical Intensity;Mechanical Intensity (def.);Mechanical Intensity (off.);Mechanical Load;Mechanical Load (def.);Mechanical Load (off.);Metabolic Power (Ø) (W);Metabolic Power (max.) (W);Metabolic Power per mass (Ø) (W/kg);Metabolic Power per mass (max.) (W/kg);Metabolic Power (time | high) (s);Metabolic Power (time | low) (s);Metabolic Power (time | medium) (s);Metabolic Power (time | very high) (s);Metabolic Power (time | very low) (s);Metabolic Work (kcal);Metabolic Work / min (kcal);Physio Intensity;Physio Load;Heart Rate Recoveries;Heart Rate Recoveries / min;Heart Rate (Ø) (bpm);Heart Rate (max.) (bpm);Heart Rate (min.) (bpm);Heart rate (% of max.) (%);Heart Rate (% of HRR) (%);Heart Rate (time | 0 - 50%) (s);Heart Rate (time | 50 - 60%) (s);Heart Rate (time | 60 - 70%) (s);Heart Rate (time | 70 - 80%) (s);Heart Rate (time | 80 - 90%) (s);Heart Rate (time | ? 90%) (s);Human Core Temperature (Ø) (°C);Human Core Temperature (max.) (°C);Activation Gluteus (total);Activation Hamstrings (total);Muscle Load (total);Activation Quadrizeps (total);TRIMP;Accelerations;Accelerations (low);Accelerations (medium);Accelerations (high);Accelerations (very high);Accelerations (near max);Accelerations (max);Accelerations / min;Accelerations / min (low);Accelerations / min (medium);Accelerations / min (high);Accelerations / min (very high);Accelerations / min (near max);Accelerations / min (max);Changes of Direction;Changes of Direction (left);Changes of Direction (right);Changes of Direction / min;Changes of Direction / min (left);Changes of Direction / min (right);Changes of Orientation;Changes of Orientation / min;Changes of Pace;Changes of Pace (low);Changes of Pace (medium);Changes of Pace (high);Changes of Pace (very high);Changes of Pace / min;Changes of Pace / min (low);Changes of Pace / min (medium);Changes of Pace / min (high);Changes of Pace / min (very high);Decelerations;Decelerations (low);Decelerations (medium);Decelerations (high);Decelerations (very high);Decelerations / min;Decelerations / min (low);Decelerations / min (medium);Decelerations / min (high);Decelerations / min (very high);Down on Pads;Down on Pads / min;Exertions;Exertions (low);Exertions (medium);Exertions (high);Exertions (very high);Exertions / min;Exertions / min (low);Exertions / min (medium);Exertions / min (high);Exertions / min (very high);Impacts;Impacts / min;Shifts;Shifts / min;Skating Transitions;Skating Transitions (left);Skating Transitions (right);Skating Transitions / min;Skating Transitions / min (left);Skating Transitions / min (right);Speed Zone Entries;Speed Zone Entries (very slow);Speed Zone Entries (slow);Speed Zone Entries (moderate);Speed Zone Entries (fast);Speed Zone Entries (very fast);Speed Zone Entries (sprint);Speed Zone Entries / min;Speed Zone Entries / min (very slow);Speed Zone Entries / min (slow);Speed Zone Entries / min (moderate);Speed Zone Entries / min (fast);Speed Zone Entries / min (very fast);Speed Zone Entries / min (sprint);Sprints;Sprints (low);Sprints (medium);Sprints (high);Sprints (very high);Sprints (near max);Sprints / min;Sprints / min (low);Sprints / min (medium);Sprints / min (high);Sprints / min (very high);Sprints / min (near max);Turns;Sharp Turns;Wide Turns;Turns / min;Sharp Turns / min;Wide Turns / min
Defense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;3163;808;582;701;643;286;144;183;47;34;41;37;17;8;8836;D;10,97;28,83;58;1038;1038;494;171;174;130;48;22;185,52;24,27;36,78;37,86;24,05;21,77;16,46;24,33;10,73;1,78;7,82;117;265;70;220;60;87;218;4,43;-6,02;109;34;947;55;1287;74;232;533,23;174,51;158,36;178,3;22,06;30,83;10,09;9,16;10,31;1,28;261,41;68,55;61,2;96,28;35,39;15,11;3,96;3,54;5,57;2,05;45,94;;;794,65;0;0;337,43;1780,9;3,67;19,36;167;331;260;94;186;84,44;4,88;39,2;677,6;0;0;;;;0;0;;;;;;;;;;;;;0;90;82;7;1;0;0;0;5,2;4,74;0,4;0,06;0;0;0;30;12;18;1,73;0,69;1,04;9;0,52;39;39;0;0;0;2,25;2,25;0;0;0;98;17;21;22;38;5,67;0,98;1,21;1,27;2,2;0;0;24;0;0;0;24;1,39;0;0;0;1,39;5;0,29;26;1,5;71;44;27;4,1;2,54;1,56;151;0;27;52;43;14;15;8,73;0;1,56;3,01;2,49;0,81;0,87;16;9;6;1;0;0;0,92;0,52;0,35;0,06;0;0;33;10;23;1,91;0,58;1,33
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;2881;285;258;337;833;638;531;251;25;22;29;72;56;46;8836;F;15,05;32,02;64;689;689;188;75;80;164;107;75;136,39;11,08;19,19;26,06;29,89;21,84;16,27;12,06;11,87;2,01;6,17;132;126;41;134;58;93;105;3,64;-7,35;66;13;1586;138;1724;150;287;331,54;110,91;113,3;105,64;1,7;28,86;9,66;9,86;9,2;0,15;160,68;49,95;40,26;51,14;19,33;13,99;4,35;3,5;4,45;1,68;42,85;;;492,22;0;0;436,3;1511,09;4,85;16,79;192;130;173;106;87;71,52;6,23;52,6;603,8;0;0;;;;0;0;;;;;;;;;;;;;0;60;60;0;0;0;0;0;5,22;5,22;0;0;0;0;0;14;7;7;1,22;0,61;0,61;3;0,26;18;18;0;0;0;1,57;1,57;0;0;0;51;10;14;5;22;4,44;0,87;1,22;0,44;1,92;0;0;12;0;0;0;12;1,04;0;0;0;1,04;0;0;18;1,57;35;16;19;3,05;1,39;1,65;93;0;10;10;26;20;27;8,1;0;0,87;0,87;2,26;1,74;2,35;41;19;12;8;2;0;3,57;1,65;1,04;0,7;0,17;0;56;9;47;4,88;0,78;4,09
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;3586;594;280;520;878;683;632;231;38;18;33;56;44;41;8836;F;13,85;33,77;68;932;932;353;81;124;172;113;89;183,43;14,29;24,28;35,59;36,14;34,4;23,11;15,6;11,8;1,98;6,74;156;165;49;194;82;139;146;4,35;-6,68;76;20;1903;122;2090;134;360;489,61;150,1;183,03;147,27;9,21;31,51;9,66;11,78;9,48;0,59;227;64,3;51,01;64,77;46,91;14,61;4,14;3,28;4,17;3,02;46,12;;;716,61;0;0;398,67;1772,83;4,58;20,38;230;245;199;142;116;88,36;5,69;46,8;726,6;0;0;;;;0;0;;;;;;;;;;;;;0;87;82;4;1;0;0;0;5,6;5,28;0,26;0,06;0;0;0;11;5;6;0,71;0,32;0,39;7;0,45;30;30;0;0;0;1,93;1,93;0;0;0;73;10;7;15;41;4,7;0,64;0,45;0,97;2,64;0;0;20;0;0;0;20;1,29;0;0;0;1,29;3;0,19;23;1,48;54;29;25;3,48;1,87;1,61;124;0;11;24;37;26;26;7,98;0;0,71;1,54;2,38;1,67;1,67;39;21;9;5;4;0;2,51;1,35;0,58;0,32;0,26;0;48;6;42;3,09;0,39;2,7
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;3881;670;505;767;873;525;541;223;39;29;44;50;30;31;8836;F;13,39;31,4;63;1043;1043;379;147;180;170;88;80;212,37;19,54;29,41;33,7;35,24;33,78;22,43;38,28;12,21;2,03;10,62;160;204;108;179;79;124;189;4,14;-7,11;219;57;1685;97;1956;113;333;521,88;168,28;173,6;169,57;10,42;30,01;9,68;9,98;9,75;0,6;249,74;77,05;60,01;76,68;36;14,36;4,43;3,45;4,41;2,07;44,38;;;771,62;0;0;356,99;1655,96;4,35;20,19;217;281;280;136;129;88,87;5,11;42,6;741,1;0;0;;;;0;0;;;;;;;;;;;;;0;86;81;5;0;0;0;0;4,95;4,66;0,29;0;0;0;0;23;17;6;1,32;0,98;0,35;20;1,15;34;34;0;0;0;1,96;1,96;0;0;0;83;16;13;18;36;4,77;0,92;0,75;1,04;2,07;0;0;36;0;0;0;36;2,07;0;0;0;2,07;10;0,58;21;1,21;70;32;38;4,03;1,84;2,19;151;0;27;24;47;22;31;8,68;0;1,55;1,38;2,7;1,27;1,78;42;18;15;7;2;0;2,42;1,04;0,86;0,4;0,12;0;58;12;46;3,34;0,69;2,65
Defense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;354;63;30;37;90;86;47;231;41;20;24;59;56;31;8836;D;13,85;27,38;55;92;92;35;10;9;17;14;7;17,1;1,73;1,97;2,53;3,38;2,36;2,17;2,95;11,16;1,89;4,89;15;13;9;14;8;8;24;3,49;-4,98;8;2;201;131;179;117;35;47,41;10,65;14,09;22,67;0;30,95;6,95;9,2;14,8;0;21,44;5,45;6;6,6;3,39;14;3,56;3,92;4,31;2,22;44,95;;;68,85;0;0;345,6;1459,4;4,73;19,99;18;28;17;17;13;7,17;4,68;39,2;60,1;0;0;;;;0;0;;;;;;;;;;;;;0;9;8;1;0;0;0;0;5,88;5,22;0,65;0;0;0;0;3;1;2;1,96;0,65;1,31;1;0,65;3;3;0;0;0;1,96;1,96;0;0;0;8;2;0;1;5;5,22;1,31;0;0,65;3,26;0;0;2;0;0;0;2;1,31;0;0;0;1,31;1;0,65;2;1,31;8;3;5;5,22;1,96;3,26;15;0;3;2;2;5;3;9,79;0;1,96;1,31;1,31;3,26;1,96;5;2;3;0;0;0;3,26;1,31;1,96;0;0;0;2;0;2;1,31;0;1,31
Defense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;5087;846;657;908;1366;758;552;224;37;29;40;60;33;24;8836;D;13,47;30,83;62;1360;1360;479;192;218;264;126;81;213,79;35,02;40,61;45,81;35,71;22,88;14,29;19,47;9,43;1,56;6,61;173;296;59;258;53;92;428;3,98;-6,34;168;32;2030;90;2501;110;394;636,53;211,6;235,72;183,15;6,06;28,08;9,34;10,4;8,08;0,27;298,86;108,87;74,41;88,01;27,58;13,19;4,8;3,28;3,88;1,22;41,27;;;935,39;0;0;416,75;1741,18;4,25;17,77;296;395;362;159;148;135,38;5,97;51,2;1160,9;0;0;;;;0;0;;;;;;;;;;;;;0;108;104;4;0;0;0;0;4,76;4,59;0,18;0;0;0;0;19;8;11;0,84;0,35;0,49;9;0,4;33;33;0;0;0;1,46;1,46;0;0;0;83;15;18;20;30;3,66;0,66;0,79;0,88;1,32;0;0;26;0;0;0;26;1,15;0;0;0;1,15;1;0,04;31;1,37;127;85;42;5,6;3,75;1,85;191;0;25;39;51;35;41;8,43;0;1,1;1,72;2,25;1,54;1,81;53;24;19;10;0;0;2,34;1,06;0,84;0,44;0;0;60;6;54;2,65;0,26;2,38
Goalies;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;1066;1038;28;0;0;0;0;16;16;0;0;0;0;0;8836;Goalkeeper;0,96;12,99;26;4007;4007;3998;9;0;0;0;0;195,86;114,64;45,04;20,4;8,33;4,31;2,32;0,82;2,93;0,49;4,36;49;512;4;160;11;22;3249;3,11;-3,39;1;1;25;0;7;0;22;847,63;620,03;178,27;49,33;0;12,69;9,28;2,67;0,74;0;440,25;340,13;79,29;20,84;0;6,59;5,09;1,19;0,31;0;19,29;;;1287,88;0;0;32,3;803,57;0,38;9,45;4;298;28;0;3677;30,97;0,46;3,2;211;0;0;;;;0;0;;;;;;;;;;;;;0;8;8;0;0;0;0;0;0,12;0,12;0;0;0;0;0;0;0;0;0;0;0;1;0,01;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0,01;0,01;0;0;0;42;0,63;1;0;0;0;1;0,01;0;0;0;0,01;0;0;4;0,06;1;1;0;0,01;0,01;0;7;0;7;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0,04;0,03;0,01
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;4683;629;434;647;1217;819;936;242;32;22;33;63;42;48;8836;F;14,51;32,46;65;1162;1162;379;126;152;234;139;133;209,38;20,18;36,36;47,04;49,19;33,03;16,35;7,24;10,81;1,81;5,96;227;254;25;259;62;137;198;3,91;-7,08;33;10;2574;133;2758;142;484;587,97;196,65;212,3;164,48;14,55;30,36;10,16;10,96;8,49;0,75;274,98;81,04;55,73;96,28;41,94;14,2;4,18;2,88;4,97;2,17;44,56;;;862,95;0;0;355,52;1379,97;4,74;18,4;295;249;286;184;147;98,53;5,09;42,2;817,9;0;0;;;;0;0;;;;;;;;;;;;;0;91;85;6;0;0;0;0;4,7;4,39;0,31;0;0;0;0;19;11;8;0,98;0,57;0,41;4;0,21;32;32;0;0;0;1,65;1,65;0;0;0;96;15;16;22;43;4,96;0,77;0,83;1,14;2,22;0;0;8;0;0;0;8;0,41;0;0;0;0,41;1;0,05;23;1,19;49;22;27;2,53;1,14;1,39;168;0;26;26;36;36;44;8,68;0;1,34;1,34;1,86;1,86;2,27;60;23;19;16;2;0;3,1;1,19;0,98;0,83;0,1;0;74;16;58;3,82;0,83;3
Offense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;4009;707;527;563;1079;631;502;194;34;26;27;52;31;24;8836;F;11,65;33,51;67;1239;1239;553;157;137;211;107;73;255,01;18,45;26,25;33,37;35,86;36,34;29,65;75,09;12,35;2,07;9,1;151;171;197;171;94;135;319;4,16;-6,54;489;120;1812;88;2066;100;353;536,7;194,68;177,85;152,78;11,39;26;9,43;8,62;7,4;0,55;260,56;80,48;59,5;73,92;46,67;12,62;3,9;2,88;3,58;2,26;38,62;;;797,27;0;0;349,89;1826,68;3,84;20,07;248;282;293;133;283;101,64;4,92;41,2;849,5;0;0;;;;0;0;;;;;;;;;;;;;0;93;87;6;0;0;0;0;4,51;4,21;0,29;0;0;0;0;20;10;10;0,97;0,48;0,48;37;1,79;28;28;0;0;0;1,36;1,36;0;0;0;86;21;12;15;38;4,17;1,02;0,58;0,73;1,84;0;0;65;0;0;0;65;3,15;0;0;0;3,15;13;0,63;21;1,02;106;75;31;5,13;3,63;1,5;156;0;34;25;35;37;25;7,56;0;1,65;1,21;1,7;1,79;1,21;32;9;13;6;4;0;1,55;0,44;0,63;0,29;0,19;0;61;8;53;2,95;0,39;2,57
Defense;;vs Lugano;194;Match;16.11.2022 22:09:47;16.11.2022;16.11.2022;22:09:47;21:09:47;16.11.2022 21:09:47;16.11.2022 19:42:31;16.11.2022;16.11.2022;19:42:31;18:42:31;16.11.2022 18:42:31;4383;987;713;832;1115;452;285;201;45;33;38;51;21;13;8836;D;12,08;34,24;68;1307;1307;560;210;200;218;77;42;230,44;28,76;45,7;45,48;43,7;31,33;20,23;15,24;10,58;1,76;7,48;207;319;49;266;69;134;262;3,61;-6,48;75;21;1479;68;1913;88;327;663,82;211,13;237,66;213,57;1,45;30,48;9,69;10,91;9,81;0,07;321,71;91,01;81,8;117,76;31,15;14,77;4,18;3,76;5,41;1,43;45,25;;;985,54;0;0;359,31;1573,95;3,91;17,11;236;404;358;128;180;112,01;5,14;43,1;939,1;0;0;;;;0;0;;;;;;;;;;;;;0;117;111;6;0;0;0;0;5,37;5,1;0,28;0;0;0;0;24;14;10;1,1;0,64;0,46;6;0,28;37;37;0;0;0;1,7;1,7;0;0;0;113;16;32;25;40;5,19;0,73;1,47;1,15;1,84;0;0;19;0;0;0;19;0,87;0;0;0;0,87;5;0,23;26;1,19;106;53;53;4,87;2,43;2,43;177;0;32;44;47;31;23;8,13;0;1,47;2,02;2,16;1,42;1,06;30;16;11;2;1;0;1,38;0,73;0,51;0,09;0,05;0;64;12;52;2,94;0,55;2,39
